Date,Event name,Period
Submitted by INS on 11/28/2025,"The use of pesticides in agriculture, in 2023",Year 2023
Submitted by INS on 12/02/2025,ILO Unemployment,October 2025
Submitted by INS on 12/03/2025 - 08,Industrial production prices index (IPPI),October 2025
Submitted by INS on 12/04/2025 - 08,Quarterly labour costs index,Third quarter 2025
Submitted by INS on 12/05/2025 - 08,Turnover in retail trade,October 2025
Submitted by INS on 12/05/2025 - 08,Tourism,October 2025
Submitted by INS on 12/05/2025,Gross domestic product in the Third quarter 2025 (provisional data) (1),Third quarter 2024
Submitted by INS on 12/09/2025,Public access to information and communication technology,Year 2025
Submitted by INS on 12/10/2025,Romania's foreign trade (estimated data),October 2025
Submitted by INS on 12/10/2025,Vital statistics,October 2025
Submitted by INS on 12/10/2025,Slaughtering of animals and poultry and meat production,October 2025
Submitted by INS on 12/12/2025,Consumer price index (CPI),November 2025
Submitted by INS on 12/12/2025,Construction of dwellings (provisional data),Third quarter 2025 and 9 months
Submitted by INS on 12/12/2025,Monthly average earning,octombrie 2025
Submitted by INS on 12/12/2025,Net investments in the national economy (provisional data),Third quarter and 9 months 2025
Submitted by INS on 12/15/2025,Employment and unemployment,Third quarter 2025
Submitted by INS on 12/15/2025,Energy resources (provisional data),"January 1 - October 31, 2025"
Submitted by INS on 12/15/2025,Average number of pensioners and average monthly pension in Third quarter 2024,Third quarter 2025
Submitted by INS on 12/15/2025,Industrial production indices (IPI),October 2025
Submitted by INS on 12/17/2025 - 08,Value indices of industrial new orders,October 2025
Submitted by INS on 12/17/2025,Turnover index in industry,October 2025
Submitted by INS on 12/18/2025,Construction works,October 2025
Submitted by INS on 12/19/2025 - 08,The turnover of the trade with motor vehicles and motorcycles,October 2025
Submitted by INS on 12/19/2025,Turnover in trade and services provided to the population,October 2025
Submitted by INS on 12/23/2025 - 08,Turnover of market services rendered mainly to enterprises,October 2025
Submitted by INS on 12/23/2025,Wholesale turnover,October 2025
Submitted by INS on 12/23/2025,Agricultural land prices in Romania and EU Member States in 2024,Year 2024
Submitted by INS on 12/29/2025,Trends in the evolution of economic activity,December 2025 - February 2026
